Bulan,Inflasi
1/1/2021,0.08
2/1/2021,0.14
3/1/2021,0.08
4/1/2021,0.00
5/1/2021,0.00
6/1/2021,0.00
7/1/2021,0.08
8/1/2021,0.00
9/1/2021,0.00
10/1/2021,0.00
11/1/2021,0.00
12/1/2021,0.19
1/1/2022,0.00
2/1/2022,0.00
3/1/2022,0.05
4/1/2022,0.05
5/1/2022,0.00
6/1/2022,0.19
